Name,Address,City,State,Zip Code,County,Minority Group(s),Contact Name,Contact Phone Number,Contact Fax,Certification Number,Certification Date,Contact Email Address,Website,NAICS Codes(s),Products / Services,Geocoded Location
"KIBART, INC.",901 DULANEY VALLEY ROAD SUITE 301,BALTIMORE,MD,21204,BALTIMORE,NR (SBE ONLY),"PAUL EDWIN ABBOTT, JR.",4104941111,4104941112,16-307,06/17/2016 12:00:00 AM,PEA@KIBART.COM,http://WWW.KIBART.COM,541330-SBE-ONLY,ENGINEERING SERVICES,"901 DULANEY VALLEY ROAD SUITE 301
BALTIMORE, MD 21204
(39.407282, -76.60101)"
"KHD PERFORMANCE ANALYSIS SOLUTIONS, LLC",6 PENNYDOG COURT,SILVER SPRING,MD,20902,MONTGOMERY,AFRICAN AMERICAN / FEMALE,KAREN J. HAMMOND,3016492723,,15-166,04/22/2015 12:00:00 AM,KHAMMOND@KHDPERFORMANCEANALYSIS.COM,http://WWW.KHDPERFORMANCEANALYSISSOLUTIONS.COM,"541611-MBE/DBE/SBE, 611430-MBE/DBE/SBE",ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY STRATEGIC PLANNING AND DEVELOPMENT PROGRAM EVALUATION PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,"6 PENNYDOG COURT
SILVER SPRING, MD 20902
(39.029342, -77.049016)"
"KIMMER & ASSOCIATES, LLC",4026 HOUCKS ROAD,MONKTON,MD,21111,HARFORD,AFRICAN AMERICAN / FEMALE,KIM I. MCCALLA,4103222150,,04-140,03/31/2004 12:00:00 AM,KIMCCALLA@ZOOMINTERNET.NET,,"236220-MBE/DBE/SBE, 541611-MBE/DBE/SBE",COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION SPECIFICALLY PROGRAM AND PROJECT MANAGEMENT STRATEGIC PLANNING ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY CONSTRUCTION MANAGEMENT,"4026 HOUCKS ROAD
MONKTON, MD 21111
(39.609731, -76.542952)"
"KING-BRYANT, INC.","28 SOUTH POTOMAC STREET, SUITE 301",HAGERSTOWN,MD,21740,FREDERICK,AFRICAN AMERICAN,"ANTHONY L. KING, JR.",3016315464,3018314626,10-782,12/03/2010 12:00:00 AM,AJ@KINGBRYANT.COM,http://KINGBRYANT.COM,238110-MBE/DBE/SBE,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,"28 SOUTH POTOMAC STREET, SUITE 301
HAGERSTOWN, MD 21740
(39.641398, -77.720824)"
"KING'S POINT SURVEY, INC.",8019  LONG HILL ROAD,PASADENA,MD,21122,ANNE ARUNDEL,FEMALE,JESSICA KING,4102551378,4103600247,15-618,12/18/2015 12:00:00 AM,JKING@KINGSPOINTSURVEYS.COM,http://KINGSPOINTSURVEYSINC.COM,"541340-MBE/DBE/SBE, 541370-MBE/DBE/SBE",DRAFTING SERVICES SURVEYING AND MAPPING EXCEPT GEOPHYSICAL SERVICES SPECIFICALLY LAND SURVEYING SERVICES,"8019 LONG HILL ROAD
PASADENA, MD 21122
(39.127471, -76.575241)"
"KIRBY METAL RECYCLING, LLC",5832 KIRBY ROAD,CLINTON,MD,20735,PRINCE GEORGE'S,ASIAN AMERICAN SUB-CONTINENT / FEMALE,MRS. DARSHINI J. PATEL,3012975420,3013279606,15-137,04/22/2015 12:00:00 AM,DPATEL@KIRBYMETALRECYCLING.COM,http://WWW.KIRBYMETALRECYCLING.COM,"423930-MBE/DBE/SBE, 562920-MBE/DBE/SBE",RECYCLABLE MATERIAL MERCHANT WHOLESALERS MATERIALS RECOVERY FACILITIES,"5832 KIRBY ROAD
CLINTON, MD 20735
(38.784857, -76.905292)"
"KINGDOM BUILDING, I AM A BELIEVER, TO GOD BE THE GLOR",525 WILDWOOD PARKWAY,BALTIMORE,MD,21229,BALTIMORE,AFRICAN AMERICAN,VERNARD MARTIN,4436904423,,11-230,04/26/2011 12:00:00 AM,VERNARD3@VERIZON.NET,,"492110-MBE/DBE/SBE, 492210-MBE/DBE/SBE",COURIERS AND EXPRESS DELIVERY SERVICES SPECIFICALLY COURIER AND EXPRESS DELIVERY SERVICES LOCAL MESSENGERS AND LOCAL DELIVERY SPECIFICALLY RESTAURANT SCHOOLS HOSPITAL INSTITUTION AND CENTERS MEAL SUPPLY DELIVERY SERVICES INDEPENDENT DELIVERY SERVICES,"525 WILDWOOD PARKWAY
BALTIMORE, MD 21229
(39.293217, -76.683874)"
"KING, KING, AND ASSOCIATES, P.A.","124 SLADE AVENUE, SUITE 100",BALTIMORE,MD,21208,BALTIMORE,AFRICAN AMERICAN / FEMALE,PAMELA KING-SMITH,4104864500,4104866330,87-541,05/28/1987 12:00:00 AM,PAMELA@KING-KING.COM,http://WWW.KING-KING.COM,541211-MBE/DBE/SBE,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS SPECIFICALLY ACCOUNTING AUDITING TAX PREPARATION MANAGEMENT ADVISORY SERVICES BOOKKEEPING SERVICES,"124 SLADE AVENUE, SUITE 100
BALTIMORE, MD 21208
(39.367009, -76.720766)"
"KINGDOMWARE TECHNOLOGIES, INC.",11186 BEL AIRE COURT,WALDORF,MD,20603,CHARLES,AFRICAN AMERICAN,TIMOTHY BARTON,3017055178,8665741763,00-311,11/29/2000 12:00:00 AM,INFO@KINGDOMWARE.NET,http://WWW.KINGDOMWARE.NET,"518111-MBE/DBE/SBE, 541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 561110-MBE/DBE/SBE",CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES INTERNET SERVICE PROVIDERS OTHER COMPUTER RELATED SERVICES SPECIFICALLY INFORMATION RETRIEVAL SERVICES OFFICE ADMINISTRATIVE SERVICES,"11186 BEL AIRE COURT
WALDORF, MD 20603
(38.631065, -76.922351)"
"KJMK MANAGEMENT, INC.","2500 WALLINGTON WAY, SUITE 208",MARRIOTTSVILLE,MD,21104,HOWARD,FEMALE,JUDITH A. MCGOVERN,4104808002,4104808003,04-370,08/19/2004 12:00:00 AM,JMCGOVERN@KJMKMANAGEMENT.COM,http://WWW.KJMKMANAGEMENT.COM,561330-MBE/DBE/SBE,PROFESSIONAL EMPLOYER ORGANIZATIONS SPECIFICALLY EMPLOYEE LEASING SERVICES CONSTRUCTION INDUSTRY PROJECT MANAGERS PROJECT EXECUTIVES SUPPORT PERSONNEL,"2500 WALLINGTON WAY, SUITE 208
MARRIOTTSVILLE, MD 21104
(39.309375, -76.897747)"
"KIYO DESIGN, INCORPORATED",113 ROUND BAY ROAD,SEVERNA PARK,MD,21146,ANNE ARUNDEL,FEMALE,NANCY J. HOYT,4109034749,4104215851,15-274,06/03/2015 12:00:00 AM,NHOYT@KIYOINC.COM,http://WWW.KIYOINC.COM,"315210-MBE/DBE/SBE, 451130-MBE/DBE/SBE, 454113-MBE/DBE/SBE, 541370-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 611699-MBE/DBE/SBE",CUT AND SEW APPAREL CONTRACTORS SPECIFICALLY SEWING MATERIALS OWNED BY OTHERS FOR APPAREL AND ACCESSORIES SEWING NEEDLEWORK AND PIECE GOODS STORES SPECIFICALLY ON LINE AND RETAIL SALES OF FABRICS PIECE GOODS AND SEWING SUPPLIES MAIL ORDER HOUSES SPECIFICALLY ON LINE AND CATALOG SALES OF FABRICS PIECE GOODS AND SEWING SUPPLIES SURVEYING AND MAPPING EXCEPT GEOPHYSICAL SERVICES SPECIFICALLY GEOGRAPHIC INFORMATION SYSTEM GIS MAPPING SERVICES FOR DATABASE MANAGEMENT ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY HEALTHCARE PROJECT AND PROGRAM MANAGEMENT HEALTCARE REGULATORY COMPLIANCE CONSULTING SERVICES FOR INFECTION CONTROL AND PREVENTION EPIDEMIOLOGY CONSULTING STRATEGIC PLANNING ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION SPECIFICALLY SEWING INSTRUCTION AND CLASSES,"113 ROUND BAY ROAD
SEVERNA PARK, MD 21146
(39.063632, -76.543651)"
"KK ENGINEERING, LLC",5840 BANNEKAR ROAD,COLUMBIA,MD,21044,HOWARD,AFRICAN AMERICAN,KHALID KHALIFA,4433931070,4433934880,14-283,06/03/2014 12:00:00 AM,KKHALIFA@KKEDESIGN.COM,http://WWW.KKEDESIGN.COM,541330-MBE/DBE/SBE,ENGINEERING SERVICES,"5840 BANNEKAR ROAD
COLUMBIA, MD 21044
(39.212485, -76.870503)"
"KIROMA CONTRACTING, INC.",4800 ACTON ROAD,TEMPLE HILLS,MD,20748,PRINCE GEORGE'S,AFRICAN AMERICAN,CLIFFORD JACOBS,3014235031,3014232376,11-329,06/13/2011 12:00:00 AM,VCJKIROMA@VERIZON.NET,http://WWW.KIROMA-CONTRACTING.COM,"238130-MBE/DBE/SBE, 238310-MBE/DBE/SBE, 238320-MBE/DBE/SBE, 238330-MBE/DBE/SBE, 238340-MBE/DBE/SBE, 238350-MBE/DBE/SBE",FRAMING CONTRACTORS DRYWALL AND INSULATION CONTRACTORS PAINTING AND WALL COVERING CONTRACTORS FLOORING CONTRACTORS TILE AND TERRAZZO CONTRACTORS FINISH CARPENTRY CONTRACTORS,"4800 ACTON ROAD
TEMPLE HILLS, MD 20748
(38.817638, -76.927433)"
"KLI, INC.",304 ROMA JEAN PARKWAY,STREAMWOOD,IL,60107,OTHER STATE,ASIAN AMERICAN PACIFIC / FEMALE,LISA CARSO,6302131282,6302131297,04-209,05/12/2004 12:00:00 AM,SUPPORT@KLI-INC.COM,http://WWW.KLI-INC.COM,"334418-MBE/DBE/SBE, 335931-MBE/DBE/SBE, 335932-MBE/DBE/SBE, 336322-MBE/DBE/SBE",CURRENT CARRYING WIRING DEVICE MANUFACTURING SPECIFICALLY CONNECTORS SOLDERLESS WIRING DEVICES ELECTRONIC COMPONENTS MANUFACTURING CONDUITS AND FITTINGS ELECTRICAL NONCURRENT CARRYING WIRING DEVICE MANUFACTURING PRINTED CIRCUIT ASSEMBLY ELECTRONIC ASSEMBLY MANUFACTURING OTHER MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,"304 ROMA JEAN PARKWAY
STREAMWOOD, IL 60107
(42.004496, -88.177477)"
"KLEEN AND RESTORE, LLC",10605 VISTA LINDA DRIVE,BOWIE,MD,20721,PRINCE GEORGE'S,AFRICAN AMERICAN,MELVIN L. GASKINS,3014375416,2405825136,16-591,11/16/2016 12:00:00 AM,MELVINGASKINS@COMCAST.NET,,"562111-MBE/DBE/SBE, 562212-MBE/DBE/SBE",SOLID WASTE COLLECTION SOLID WASTE LANDFILL SPECIFICALLY DUMPS NONHAZARDOUS TRASH DISPOSALS AND LOCAL HAULING,"10605 VISTA LINDA DRIVE
BOWIE, MD 20721
(38.942695, -76.823004)"
"KNOT TECHNOLOGY SOLUTIONS, LLC",P.O. BOX 233,CHURCHTON,MD,20733,ANNE ARUNDEL,FEMALE,MARGARET PATRICK,4108671071,4105586744,10-318,05/14/2010 12:00:00 AM,PEGGY.PATRICK@KNOT-TECH.COM,http://WWW.KNOT-TECH.COM,"423430-MBE/DBE/SBE, 541512-MBE/DBE/SBE",COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS SPECIFICALLY COMPUTER PERIPHERAL EQUIPMENT MERCHANT WHOLESALERS COMPUTER SOFTWARE PACKAGE WHOLESALERS COMPUTERS MERCHANT WHOLESALERS PERIPHERAL EQUIPMENT COMPUTER MERCHANT WHOLESALERS SOFTWARE COMPUTER PACKAGED MERCHANT WHOLESALERS COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY COMPUTER HARDWARE AND SOFTWARE CONSULTING,"P.O. BOX 233
CHURCHTON, MD 20733
"
"KLS ENGINEERING, LLC","45155 RESEARCH PLACE, SUITE 200",ASHBURN,VA,20147,OTHER STATE,ASIAN AMERICAN SUB-CONTINENT,LEVERSON BOODLAL,7033143397,7038581358,11-131,03/02/2011 12:00:00 AM,LEVERSON.BOODLAL@KLS-ENG.COM,http://WWW.KLS-ENG.COM,541330-MBE/DBE/SBE,ENGINEERING SERVICES SPECIFICALLY TRANSPORTATION PLANNING TRAFFIC ENGINEERING HIGHWAY SAFETY,"45155 RESEARCH PLACE, SUITE 200
ASHBURN, VA 20147
(39.05187, -77.43734)"
KMS ENTERPRISES INCORPORATED,9103 WOODMORE CENTRE DRIVE #311,LANHAM,MD,20776,PRINCE GEORGE'S,AFRICAN AMERICAN,KENNETH J. GRAVES,3014295155,3014291019,07-096,03/09/2007 12:00:00 AM,KEN.GRAVES@KMSCORP.COM,http://WWW.KMSCORP.COM,"541512-MBE/DBE/SBE, 541513-MBE/DBE/SBE, 541614-MBE/DBE/SBE, 561920-MBE/DBE/SBE, 611420-MBE/DBE/SBE",COMPUTER SYSTEMS DESIGN SERVICES COMPUTER FACILITIES MANAGEMENT SERVICES SPECIFICALLY LOGISTICS MANAGEMENT CONSULTING SERVICES COMPUTER SYSTEMS DESIGN SERVICES CONVENTION AND TRADE SHOW ORGANIZERS SPECIFICALLY BUSINESS AND EVENT PLANNING SERVICES COMPUTER TRAINING PROCESS PHYSICAL DISTRIBUTION AND LOGISTICS CONSULTING SERVICES,"9103 WOODMORE CENTRE DRIVE #311
LANHAM, MD 20776
(38.920743, -76.845184)"
"KMD MUNICIPAL SALES & SERVICES, LLC",2912 EMERALD ROAD,PARKVILLE,MD,21234,BALTIMORE,ASIAN AMERICAN PACIFIC,ERIC SAMIOS-UY,4439662455,4106495225,16-393,07/29/2016 12:00:00 AM,ERIC@KMDMUNICPAL.COM,http://WWW.KMDMUNICPA.COM,"238320-MBE/DBE/SBE, 425120-MBE/DBE/SBE",PAINTING AND WALL COVERING CONTRACTORS WHOLESALE TRADE AGENTS AND BROKERS SPECIFICALLY BRICK STONE AND RELATED CONSTRUCTION MATERIAL,"2912 EMERALD ROAD
PARKVILLE, MD 21234
(39.37978, -76.539688)"
KNOWLEDGE ANALYTICS INCORPORATED,9210  CORPORATE BOULEVARD,ROCKVILLE,MD,20854,MONTGOMERY,AFRICAN AMERICAN,ERIC C. MCKIM,3017424734,2403923932,16-194,04/22/2016 12:00:00 AM,ERIC@KNOWLEDGEANALYTICS.COM,http://WWW.KNOWLEDGEANALYTICS.COM,"519190-MBE/DBE/SBE, 541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 541990-MBE/DBE/SBE",ALL OTHER INFORMATION SERVICES SPECIFICALLY CYBER SECURITY SUPPORT SERVICES I E IT SECURITY COMPLIANCE AND BIG DATA ANALYTICS CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY SOFTWARE INSTALLATION COMPUTER DISASTER RECOVERY IT SECURITY ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY BUSINESS REQUIREMENT ANALYSIS BUSINESS RE ENGINEERING AND BUSINESS PROCESS IMPROVEMENT ALL OTHER PROFESSIONAL SCIENTIFIC AND TECHNICAL SERVICES SPECIFICALLY DATA ANALYTICS SERVICES,"9210 CORPORATE BOULEVARD
ROCKVILLE, MD 20854
(39.107506, -77.189603)"
"KNOWLEDGE ARCHITECTS, LLC",3201 POST WOODS DR APT B,ATLANTA,GA,30339,OTHER STATE,AFRICAN AMERICAN / FEMALE,SHEILA JORDAN,4048492122,,17-035,01/25/2017 12:00:00 AM,SJORDAN@K-ARCHLLC.COM,http://WWW.K-ARCHLLC.COM,"541611-DBE/SBE-ONLY, 541614-DBE/SBE-ONLY, 611420-DBE/SBE-ONLY, 611430-DBE/SBE-ONLY",ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES PROCESS PHYSICAL DISTRIBUTION AND LOGISTICS CONSULTING SERVICES COMPUTER TRAINING PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,"3201 POST WOODS DR APT B
ATLANTA, GA 30339
(33.876141, -84.454349)"
"KMD CONTRACTING SERVICES, LLC",8006 KINGSMILL ROAD,BRANDYWINE,MD,20743,PRINCE GEORGE'S,AFRICAN AMERICAN,KEVIN MAURICE DAVIS,2405935850,3017829814,15-321,07/01/2015 12:00:00 AM,SUCCESSDAVIS81@GMAIL.COM,http://KMDCONTRACTINGSERVICES.COM,561720-MBE/DBE/SBE,JANITORIAL SERVICES,"8006 KINGSMILL ROAD
BRANDYWINE, MD 20743
(38.704227, -76.867605)"
KOLS PROPERTY MANAGEMENT AND CONSULTANTS LLC,PO BOX 943,HURLOCK,MD,21643,DORCHESTER,AFRICAN AMERICAN / FEMALE,KIM FOOKS,4106033523,4109436019,14-277,06/03/2014 12:00:00 AM,KOLSMANAGEMENT@GMAIL.COM,,"238990-MBE/DBE/SBE, 531311-MBE/DBE/SBE, 531312-MBE/DBE/SBE, 561720-MBE/DBE/SBE, 561730-MBE/DBE/SBE",ALL OTHER SPECIALTY TRADE CONTRACTORS SPECIFICALLY CLEANING BUILDING INTERIORS DURING AND IMMEDIATELY AFTER CONSTRUCTION RESIDENTIAL PROPERTY MANAGERS NONRESIDENTIAL PROPERTY MANAGERS JANITORIAL SERVICES LANDSCAPING SERVICES SPECIFICALLY MOWING,"PO BOX 943
HURLOCK, MD 21643
"
"KONIAG SERVICES, INC.","4100 LAFAYETTE CENTER DRIVE, SUITE 303",CHANTILLY,VA,20151,OTHER STATE,ALASKA NATIVE CORPORATION,DAVID LESLIE,7034883480,7034883499,13-204,04/22/2013 12:00:00 AM,DLESLIE@KONIAG.COM,http://WWW.KONIAG.COM,"541712-DBE/SBE-ONLY, 561210-DBE/SBE-ONLY",RESEARCH AND DEVELOPMENT IN THE PHYSICAL ENGINEERING AND LIFE SCIENCES EXCEPT BIOTECHNOLOGY FACILITIES SUPPORT SERVICES,"4100 LAFAYETTE CENTER DRIVE, SUITE 303
CHANTILLY, VA 20151
(38.907162, -77.470477)"
"KOORS SIGNS, LLC",2100 D CONCORD BLVD,CROFTON,MD,21114,ANNE ARUNDEL,FEMALE,LENORE E. KOORS,3018587270,,15-538,11/03/2015 12:00:00 AM,LENORE.KOORS@SIGNSBYTOMORROW.COM,http://WWW.SIGNSBYTOMORROW.COM/CROFTON/,"323111-MBE/DBE/SBE, 339950-MBE/DBE/SBE, 541613-MBE/DBE/SBE, 541890-MBE/DBE/SBE",COMMERCIAL PRINTING EXCEPT SCREEN AND BOOKS SPECIFICALLY BROCHURES FLYERS INVITATIONS ENGRAVING SIGN MANUFACTURING SPECIFICALLY SIGNS AND SIGNBOARDS MARKETING CONSULTING SERVICES OTHER SERVICES RELATED TO ADVERTISING SPECIFICALLY SIGN AND DISPLAY LETTERING SERVICES PROMOTIONAL ITEMS SUCH AS PENS HATS SHIRTS MUGS KEY CHAINS ETC,"2100 D CONCORD BLVD
CROFTON, MD 21114
(39.019652, -76.698516)"
"KOIOS SYSTEMS & TECHNOLOGY, LLC","23 B STREET, APT 508",LAUREL,MD,20707,PRINCE GEORGE'S,AFRICAN AMERICAN,KYLE TAYLOR,2403198667,,16-279,06/02/2016 12:00:00 AM,KTAYLOR@KOIOSTECHNOLOGY.COM,http://WWW.KOIOSTECHNOLOGY.COM,"541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 561110-MBE/DBE/SBE",COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY SYSTEMS ENGINEERING AND DESIGN CONSULTING OTHER COMPUTER RELATED SERVICES SPECIFICALLY INFORMATION TECHNOLOGY VALUE ADDED RESELLER ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY IT PROGRAM MANAGEMENT PROCESS IMPROVEMENT INFORMATION TECHNOLOGY STRATEGY BUSINESS INTELLIGENCE ORGANIZATIONAL CONSULTING ADMINISTRATIVE MANAGEMENT CONSULTING BUSINESS MANAGEMENT CONSULTING FINANCIAL MANAGEMENT GENERAL MANAGEMENT CONSULTING STRATEGIC PLANNING CONSULTING OFFICE ADMINISTRATIVE SERVICES SPECIFICALLY BUSINESS MANAGEMENT SERVICES EXECUTIVE MANAGEMENT SERVICES,"23 B STREET, APT 508
LAUREL, MD 20707
(39.105759, -76.843972)"
"KONSTRUCTURE, LLC","539 QUINCY STREET, NW",WASHINGTON,DC,20011,OTHER STATE,ASIAN AMERICAN SUB-CONTINENT,KEVIN R. MOHAMMED,2022489666,,13-373,08/19/2013 12:00:00 AM,KEVIN@KONSTRUCTURELLC.COM,,"238130-MBE-ONLY, 238310-MBE-ONLY, 238320-MBE-ONLY, 238330-MBE-ONLY",FRAMING CONTRACTORS DRYWALL AND INSULATION CONTRACTORS PAINTING AND WALL COVERING CONTRACTORS FLOORING CONTRACTORS,"539 QUINCY STREET, NW
WASHINGTON, DC 20011
(38.937709, -77.020331)"
"KSA INTERIORS, INC.",11051-A NUCKOLS ROAD,GLEN ALLEN,VA,23059,OTHER STATE,FEMALE,J. KIM SCHOENADEL THACKER,8045270131,8045270623,07-234,06/13/2007 12:00:00 AM,KSCHOENADEL@KSAINTERIORS.COM,http://WWW.KSAINTERIORS.COM,541410-MBE/DBE/SBE,INTERIOR DESIGN SERVICES SPECIFICALLY BUSINESS SERVICES NEC INTERIOR DESIGN SERVICES SPECIFICALLY COMMERCIAL INTERIOR DESIGN SPACE PLANNING SERVICES ENVIRONMENTAL GRAPHICS SERVICES AND FACILITIES MOVE SERVICES,"11051-A NUCKOLS ROAD
GLEN ALLEN, VA 23059
(37.676391, -77.584941)"
"KOLAK BUSINESS GROUP, LLC",9208 EDGEWOOD DRIVE,GAITHERSBURG,MD,20877,MONTGOMERY,AFRICAN AMERICAN,KEHINDE KOLAWOLE,2403533444,8774346925,11-523,09/20/2011 12:00:00 AM,KEHINDE@KOLAKBG.COM,http://WWW.KOLAKTAX.COM,"541211-MBE/DBE/SBE, 541213-MBE/DBE/SBE, 541214-MBE/DBE/SBE, 541219-MBE/DBE/SBE, 541611-MBE/DBE/SBE",OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS SPECIFICALLY AUDITING FINANCIAL STATEMENT AND BUDGET PREPARATION TAX PREPARATION SERVICES PAYROLL SERVICES SPECIFICALLY BOOKKEEPING ACCOUNTING OR BILLING SERVICES OTHER ACCOUNTING SERVICES EXCLUCING CPA OFFICERS ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY FINANCIAL PLANNING AND BUDGETING SERVICES,"9208 EDGEWOOD DRIVE
GAITHERSBURG, MD 20877
(39.125801, -77.189972)"
"KRISS CONTRACTING, INC."," 1523 GUNTER ROAD, P O BOX 246",HARTLY,DE,19953,OTHER STATE,FEMALE,VERONICA KRISS,3024923502,3024921260,82-019,02/22/1982 12:00:00 AM,SNAPPER@KRISSCONTRACTING.COMCASTBIZ.NET,,238210-MBE/DBE/SBE,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS SPECIFICALLY ELECTRICAL CONTRACTOR,"1523 GUNTER ROAD, P O BOX 246
HARTLY, DE 19953
"
"KRAUS BEHAVIORAL HEALTH, LLC",114 SOUTH WASHINGTON STREET,BALTIMORE,MD,21231,BALTIMORE CITY,FEMALE,SUSAN KRAUS,4102551400,4102551446,16-502,09/28/2016 12:00:00 AM,SKRAUS@KRAUSBEHAVIORALHEALTH.COM,http://WWW.KRAUSBEHAVIORALHEALTH.COM,"621330-MBE/DBE/SBE, 621399-MBE/DBE/SBE",OFFICES OF MENTAL HEALTH PRACTITIONERS EXCEPT PHYSICIANS SPECIFICALLY DIAGNOSSIS AND TREATMENT OF MENTAL EMOTIONAL AND BEHAVIORAL DISORDERS DIAGNOSIS AND TREATMENT OF ALCOHOL AND SUBSTANCE ABUSE OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS SPECIFICALLY OUTPATIENT MENTAL PSYCHIATRIC BEHAVIORAL AND SUBSTANCE AND ALCOHOL ABUSE CENTER,"114 SOUTH WASHINGTON STREET
BALTIMORE, MD 21231
(39.290196, -76.589059)"
KS AND D HOME IMRPROVEMENT AND CONSTRUCTION,542 BEARDS HILL ROAD,ABERDEEN,MD,21001,HARFORD,AFRICAN AMERICAN,KWESI MILLINGTON,4436904972,4102561094,12-227,03/14/2012 12:00:00 AM,KWESIMILLINGTON@YAHOO.COM,,"236118-MBE/DBE/SBE, 238350-MBE/DBE/SBE",RESIDENTIAL REMODELERS FINISH CARPENTRY CONTRACTORS,"542 BEARDS HILL ROAD
ABERDEEN, MD 21001
(39.525057, -76.165085)"
"KOYDOL, INC.","1110 BONIFANT STREET, SUITE 450",SILVER SPRING,MD,20910,MONTGOMERY,AFRICAN AMERICAN,AMADOU T. AGNE,2022889749,2024493847,14-184,04/22/2014 12:00:00 AM,ADMIN@KOYDOL.COM,http://WWW.KOYDOL.COM,"236115-MBE-ONLY, 236116-MBE-ONLY, 236220-MBE-ONLY, 238330-MBE-ONLY, 238340-MBE-ONLY, 423220-MBE-ONLY, 423310-MBE-ONLY, 423320-MBE-ONLY",NEW SINGLE FAMILY HOUSING CONSTRUCTION EXCEPT FOR SALE BUILDERS SPECIFICALLY CONSTRUCTION MANAGEMENT NEW MULTIFAMILY HOUSING CONSTRUCTION EXCEPT FOR SALE BUILDERS SPECIFICALLY CONSTRUCTION MANAGEMENT COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION SPECIFICALLY CONSTRUCTION MANAGEMENT FLOORING CONTRACTORS TILE AND TERRAZZO CONTRACTORS HOME FURNISHING MERCHANT WHOLESALERS SPECIFICALLY CARPET AND FLOOR COVERING WHOLESALER LUMBER PLYWOOD MILLWORK AND WOOD PANEL MERCHANT WHOLESALERS SPECIFICALLY WOOD FLOORING MERCHANT WHOLESALER BRICK STONE AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS SPECIFICALLY CARPET AND FLOOR COVERING WHOLESALER,"1110 BONIFANT STREET, SUITE 450
SILVER SPRING, MD 20910
(38.993368, -77.029151)"
