idnaicsLookup	naicsCode	naicsName		#REF!	#REF!
445	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
446	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
447	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
448	423310	"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"		#REF!	#REF!
449	321114	Wood Preservation		#REF!	#REF!
450	331110	Iron and Steel Mills and Ferroalloy Mfg.		#REF!	#REF!
451	331110	Iron and Steel Mills and Ferroalloy Mfg.		#REF!	#REF!
452	331221	Rolled Steel Shape Mfg.		#REF!	#REF!
453	332313	Plate Work Mfg.		#REF!	#REF!
454	332996	Fabricated Pipe and Pipe Fitting Mfg.		#REF!	#REF!
455	331491	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"		#REF!	#REF!
456	332996	Fabricated Pipe and Pipe Fitting Mfg.		#REF!	#REF!
457	331420	"Copper Rolling, Drawing, Extruding, and Alloying"		#REF!	#REF!
458	331491	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"		#REF!	#REF!
459	331210	Iron and Steel Pipe and Tube Mfg. from Purchased Steel		#REF!	#REF!
460	332312	Fabricated Structural Metal Mfg.		#REF!	#REF!
461	332312	Fabricated Structural Metal Mfg.		#REF!	#REF!
462	332311	Prefabricated Metal Building and Component Mfg.		#REF!	#REF!
463	332312	Fabricated Structural Metal Mfg.		#REF!	#REF!
464	332323	Ornamental and Architectural Metal Work Mfg.		#REF!	#REF!
465	332323	Ornamental and Architectural Metal Work Mfg.		#REF!	#REF!
466	333921	Elevator and Moving Stairway Mfg.		#REF!	#REF!
467	333921	Elevator and Moving Stairway Mfg.		#REF!	#REF!
468	339950	Sign Mfg.		#REF!	#REF!
469	339950	Sign Mfg.		#REF!	#REF!
470	339950	Sign Mfg.		#REF!	#REF!
471	332322	Sheet Metal Work Mfg.		#REF!	#REF!
472	332322	Sheet Metal Work Mfg.		#REF!	#REF!
473	336413	Other Aircraft Parts and Auxiliary Equipment Mfg.		#REF!	#REF!
474	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
475	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
476	339995	Burial Casket Mfg.		#REF!	#REF!
477	332114	Custom Roll Forming		#REF!	#REF!
478	332321	Metal Window and Door Mfg.		#REF!	#REF!
479	337124	Metal Household Furniture Mfg.		#REF!	#REF!
480	336419	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Mfg.		#REF!	#REF!
481	337127	Institutional Furniture Mfg.		#REF!	#REF!
482	332321	Metal Window and Door Mfg.		#REF!	#REF!
483	335999	All Other Misc. Electrical Equipment and Component Mfg.		#REF!	#REF!
484	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
485	337214	Office Furniture (Except Wood) Mfg.		#REF!	#REF!
486	335222	Household Refrigerator and Home Freezer Mfg.		#REF!	#REF!
487	332322	Sheet Metal Work Mfg.		#REF!	#REF!
488	333912	Air and Gas Compressor Mfg.		#REF!	#REF!
489	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
490	331511	Iron Foundries		#REF!	#REF!
491	331511	Iron Foundries		#REF!	#REF!
492	331513	Steel Foundries (Except Investment)		#REF!	#REF!
493	336611	Ship Building and Repairing		#REF!	#REF!
494	336510	Railroad Rolling Stock Mfg.		#REF!	#REF!
495	331512	Steel Investment Foundries		#REF!	#REF!
496	331529	Other Nonferrous Metal Foundries (Except Die-Casting)		#REF!	#REF!
497	331524	Aluminum Foundries (Except Die-Casting)		#REF!	#REF!
498	331529	Other Nonferrous Metal Foundries (Except Die-Casting)		#REF!	#REF!
499	336611	Ship Building and Repairing		#REF!	#REF!
500	332111	Iron and Steel Forging		#REF!	#REF!
501	332111	Iron and Steel Forging		#REF!	#REF!
502	332112	Nonferrous Forging		#REF!	#REF!
503	333112	Lawn and Garden Tractor and Home Lawn and Garden Equipment Mfg.		#REF!	#REF!
504	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
505	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
506	333991	Power-Driven Handtool Mfg.		#REF!	#REF!
507	115210	Support Activities for Animal Production		#REF!	#REF!
508	332996	Fabricated Pipe and Pipe Fitting Mfg.		#REF!	#REF!
509	333515	Cutting Tool and Machine Tool Accessory Mfg.		#REF!	#REF!
510	333514	"Special Die and Tool, Die Set, Jig, and Fixture Mfg."		#REF!	#REF!
511	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
512	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
513	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
514	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
515	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
516	332215	"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."		#REF!	#REF!
517	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
518	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
519	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
520	332119	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"		#REF!	#REF!
521	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
522	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
523	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
524	332722	"Bolt, Nut, Screw, Rivet, and Washer Mfg."		#REF!	#REF!
525	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
526	332721	Precision Turned Product Mfg.		#REF!	#REF!
527	332722	"Bolt, Nut, Screw, Rivet, and Washer Mfg."		#REF!	#REF!
528	332510	Hardware Mfg.		#REF!	#REF!
529	332510	Hardware Mfg.		#REF!	#REF!
530	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
531	339920	Sporting and Athletic Goods Mfg.		#REF!	#REF!
532	333414	Heating Equipment (Except Warm Air Furnaces) Mfg.		#REF!	#REF!
533	333414	Heating Equipment (Except Warm Air Furnaces) Mfg.		#REF!	#REF!
534	333414	Heating Equipment (Except Warm Air Furnaces) Mfg.		#REF!	#REF!
535	333414	Heating Equipment (Except Warm Air Furnaces) Mfg.		#REF!	#REF!
536	335999	All Other Misc. Electrical Equipment and Component Mfg.		#REF!	#REF!
537	335221	Household Cooking Appliance Mfg.		#REF!	#REF!
538	335228	Other Major Household Appliance Mfg.		#REF!	#REF!
539	333414	Heating Equipment (Except Warm Air Furnaces) Mfg.		#REF!	#REF!
540	333415	Air Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Mfg.		#REF!	#REF!
541	334290	Other Communications Equipment Mfg.		#REF!	#REF!
542	334290	Other Communications Equipment Mfg.		#REF!	#REF!
543	334512	"Automatic Environment Control Mfg. for Residential, Commercial and Appliance Use"		#REF!	#REF!
544	334290	Other Communications Equipment Mfg.		#REF!	#REF!
545	335224	Household Laundry Equipment Mfg.		#REF!	#REF!
546	335210	"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"		#REF!	#REF!
547	335210	Small Electrical Appliance Mfg.		#REF!	#REF!
548	335999	All Other Misc. Electrical Equipment and Component Mfg.		#REF!	#REF!
549	334417	Electronic Connector Mfg.		#REF!	#REF!
550	334416	"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."		#REF!	#REF!
551	334419	Other Electronic Component Mfg.		#REF!	#REF!
552	334416	"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."		#REF!	#REF!
553	334419	Other Electronic Component Mfg.		#REF!	#REF!
554	333413	Industrial and Commercial Fan and Blower and Air Purification Equipment Mfg.		#REF!	#REF!
555	336390	Other Motor Vehicle Parts Mfg.		#REF!	#REF!
556	335999	All Other Misc. Electrical Equipment and Component Mfg.		#REF!	#REF!
557	335222	Household Refrigerator and Home Freezer Mfg.		#REF!	#REF!
558	334413	Semiconductor and Related Device Mfg.		#REF!	#REF!
559	334413	Semiconductor and Related Device Mfg.		#REF!	#REF!
560	339113	Surgical Appliance and Supplies Mfg.		#REF!	#REF!
561	335122	"Commercial, Industrial, and Institutional Electric Lighting Fixture Mfg."		#REF!	#REF!
562	335121	Residential Electric Lighting Fixture Mfg.		#REF!	#REF!
563	335122	"Commercial, Industrial, and Institutional Electric Lighting Fixture Mfg."		#REF!	#REF!
564	335129	Other Lighting Equipment Mfg.		#REF!	#REF!
565	335121	Residential Electric Lighting Fixture Mfg.		#REF!	#REF!
566	332913	Plumbing Fixture Fitting and Trim Mfg.		#REF!	#REF!
567	332431	Metal Can Mfg.		#REF!	#REF!
568	332431	Metal Can Mfg.		#REF!	#REF!
569	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
570	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
571	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
572	331318	"Other Aluminum Rolling, Drawing, and Extruding"		#REF!	#REF!
573	331318	"Other Aluminum Rolling, Drawing, and Extruding"		#REF!	#REF!
574	332215	"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."		#REF!	#REF!
575	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
576	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
577	331222	Steel Wire Drawing		#REF!	#REF!
578	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
579	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
580	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
581	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
582	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
583	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
584	332618	Other Fabricated Wire Product Mfg.		#REF!	#REF!
585	339993	"Fastener, Button, Needle, and Pin Mfg."		#REF!	#REF!
586	332216	Saw Blade and Handtool Mfg.		#REF!	#REF!
587	339999	All Other Misc. Mfg.		#REF!	#REF!
588	337910	Mattress Mfg.		#REF!	#REF!
589	336360	Motor Vehicle Seating and Interior Trim Mfg.		#REF!	#REF!
590	332613	Spring Mfg.		#REF!	#REF!
591	332613	Spring Mfg.		#REF!	#REF!
592	332811	Metal Heat Treating		#REF!	#REF!
593	332811	Metal Heat Treating		#REF!	#REF!
594	332119	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"		#REF!	#REF!
595	332993	Ammunition (Except Small Arms) Mfg.		#REF!	#REF!
596	339999	All Other Misc. Mfg.		#REF!	#REF!
597	339999	All Other Misc. Mfg.		#REF!	#REF!
598	332117	Powder Metallurgy Part Mfg.		#REF!	#REF!
599	331315	"Aluminum Sheet, Plate, and Foil Mfg."		#REF!	#REF!
600	331315	"Aluminum Sheet, Plate, and Foil Mfg."		#REF!	#REF!
601	331315	"Aluminum Sheet, Plate, and Foil Mfg."		#REF!	#REF!
602	331513	Steel Foundries (Except Investment)		#REF!	#REF!
603	331513	Steel Foundries (Except Investment)		#REF!	#REF!
604	811490	Other Personal and Household Goods Repair and Maintenance		#REF!	#REF!
605	332813	"Electroplating, Plating, Polishing, Anodizing, and Coloring"		#REF!	#REF!
606	332813	"Electroplating, Plating, Polishing, Anodizing, and Coloring"		#REF!	#REF!
607	332813	"Electroplating, Plating, Polishing, Anodizing, and Coloring"		#REF!	#REF!
608	332812	"Metal Coating, Engraving (Except Jewelry and Silverware), and Allied Services to Manufacturers"		#REF!	#REF!
609	332812	"Metal Coating, Engraving (Except Jewelry and Silverware), and Allied Services to Manufacturers"		#REF!	#REF!
610	339910	Jewelry and Silverware Mfg.		#REF!	#REF!
611	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
612	339910	Jewelry and Silverware Mfg.		#REF!	#REF!
613	339992	Musical Instrument Mfg.		#REF!	#REF!
614	339910	Jewelry and Silverware Mfg.		#REF!	#REF!
615	334519	Other Measuring and Controlling Device Mfg.		#REF!	#REF!
616	334519	Other Measuring and Controlling Device Mfg.		#REF!	#REF!
617	334519	Other Measuring and Controlling Device Mfg.		#REF!	#REF!
618	336340	Motor Vehicle Brake System Mfg.		#REF!	#REF!
619	332439	Other Metal Container Mfg.		#REF!	#REF!
620	332999	All Other Misc. Fabricated Metal Product Mfg.		#REF!	#REF!
621	336370	Motor Vehicle Metal Stamping		#REF!	#REF!
622	332119	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"		#REF!	#REF!
623	333111	Farm Machinery and Equipment Mfg.		#REF!	#REF!
624	333120	Construction Machinery Mfg.		#REF!	#REF!
625	333999	All Other Misc. General Purpose Machinery Mfg.		#REF!	#REF!
626	333120	Construction Machinery Mfg.		#REF!	#REF!
627	333994	Industrial Process Furnace and Oven Mfg.		#REF!	#REF!
628	333924	"Industrial Truck, Tractor, Trailer, and Stacker Machinery Mfg."		#REF!	#REF!
629	336510	Railroad Rolling Stock Mfg.		#REF!	#REF!
630	333922	Conveyor and Conveying Equipment Mfg.		#REF!	#REF!
631	333519	Rolling Mill and Other Metalworking Machinery Mfg.		#REF!	#REF!
632	333131	Mining Machinery and Equipment Mfg.		#REF!	#REF!
633	333132	Oil and Gas Field Machinery and Equipment Mfg.		#REF!	#REF!
634	333923	"Overhead Traveling Crane, Hoist, and Monorail System Mfg."		#REF!	#REF!
635	333993	Packaging Machinery Mfg.		#REF!	#REF!
636	333243	"Sawmill, Woodworking, and Paper Machinery Mfg."		#REF!	#REF!
637	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
638	333120	Construction Machinery Mfg.		#REF!	#REF!
639	333120	Construction Machinery Mfg.		#REF!	#REF!
640	333519	Rolling Mill and Other Metalworking Machinery Mfg.		#REF!	#REF!
641	332510	Hardware Mfg.		#REF!	#REF!
642	333242	Semiconductor Machinery Mfg.		#REF!	#REF!
643	333120	Construction Machinery Mfg.		#REF!	#REF!
644	333992	Welding and Soldering Equipment Mfg.		#REF!	#REF!
645	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
646	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
647	332994	"Small Arms, Ordnance, and Ordnance Accessories Mfg."		#REF!	#REF!
648	333244	Printing Machinery and Equipment Mfg.		#REF!	#REF!
649	333241	Food Product Machinery Mfg.		#REF!	#REF!
650	333997	Scale and Balance Mfg.		#REF!	#REF!
651	333318	Other Commercial and Service Industry Machinery Mfg.		#REF!	#REF!
652	334513	"Instruments and Related Products Mfg. for Measuring, Displaying, and Controlling Industrial Process Variables"		#REF!	#REF!
653	332994	"Small Arms, Ordnance, and Ordnance Accessories Mfg."		#REF!	#REF!
654	333318	Other Commercial and Service Industry Machinery Mfg.		#REF!	#REF!
655	334112	Computer Storage Device Mfg.		#REF!	#REF!
656	334111	Electronic Computer Mfg.		#REF!	#REF!
657	334118	Computer Terminal and Other Computer Peripheral Equipment Mfg.		#REF!	#REF!
658	334118	Computer Terminal and Other Computer Peripheral Equipment Mfg.		#REF!	#REF!
659	334111	Computer and Peripheral Equipment Mfg.		#REF!	#REF!
660	339999	All Other Misc. Mfg.		#REF!	#REF!
661	332993	Ammunition (Except Small Arms) Mfg.		#REF!	#REF!
662	334514	Totalizing Fluid Meter and Counting Device Mfg.		#REF!	#REF!
663	334111	Computer and Peripheral Equipment Mfg.		#REF!	#REF!
664	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
665	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
666	339999	All Other Misc. Mfg.		#REF!	#REF!
667	334511	"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Mfg."		#REF!	#REF!
668	334513	"Instruments and Related Products Mfg. for Measuring, Displaying, and Controlling Industrial Process Variables"		#REF!	#REF!
669	336310	Motor Vehicle Gasoline Engine and Engine Parts Mfg.		#REF!	#REF!
670	333618	Other Engine Equipment Mfg.		#REF!	#REF!
671	333995	Fluid Power Cylinder and Actuator Mfg.		#REF!	#REF!
672	333996	Fluid Power Pump and Motor Mfg.		#REF!	#REF!
673	333913	Measuring and Dispensing Pump Mfg.		#REF!	#REF!
674	333911	Pump and Pumping Equipment Mfg.		#REF!	#REF!
675	333611	Turbine and Turbine Generator Set Units Mfg.		#REF!	#REF!
676	332410	Power Boiler and Heat Exchanger Mfg.		#REF!	#REF!
677	336992	"Military Armored Vehicle, Tank, and Tank Component Mfg."		#REF!	#REF!
678	336611	Ship Building and Repairing		#REF!	#REF!
679	332420	Metal Tank (Heavy Gauge) Mfg.		#REF!	#REF!
680	332721	Precision Turned Product Mfg.		#REF!	#REF!
681	811118	Other Automotive Mechanical and Electrical Repair and Maintenance		#REF!	#REF!
682	811111	General Automotive Repair		#REF!	#REF!
683	333318	Other Commercial and Service Industry Machinery Mfg.		#REF!	#REF!
684	333318	Other Commercial and Service Industry Machinery Mfg.		#REF!	#REF!
685	332119	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"		#REF!	#REF!
686	811411	Home and Garden Equipment Repair and Maintenance		#REF!	#REF!
687	332710	Machine Shops		#REF!	#REF!
688	336413	Other Aircraft Parts and Auxiliary Equipment Mfg.		#REF!	#REF!
689	333517	Machine Tool Mfg.		#REF!	#REF!
690	333517	Machine Tool Mfg.		#REF!	#REF!
691	811310	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance		#REF!	#REF!
692	333243	"Sawmill, Woodworking, and Paper Machinery Mfg."		#REF!	#REF!
693	336611	Ship Building and Repairing		#REF!	#REF!
694	332710	Machine Shops		#REF!	#REF!
695	332912	Fluid Power Valve and Hose Fitting Mfg.		#REF!	#REF!
696	332912	Fluid Power Valve and Hose Fitting Mfg.		#REF!	#REF!
697	332919	Other Metal Valve and Pipe Fitting Mfg.		#REF!	#REF!
698	332911	Industrial Valve Mfg.		#REF!	#REF!
699	334514	Totalizing Fluid Meter and Counting Device Mfg.		#REF!	#REF!
700	332710	Machine Shops		#REF!	#REF!
701	333612	"Speed Changer, Industrial High-Speed Drive, and Gear Mfg."		#REF!	#REF!
702	332991	Ball and Roller Bearing Mfg.		#REF!	#REF!
703	333613	Mechanical Power Transmission Equipment Mfg.		#REF!	#REF!
704	335912	Primary Battery Mfg.		#REF!	#REF!
705	335312	Motor and Generator Mfg.		#REF!	#REF!
706	335311	"Power, Distribution, and Specialty Transformer Mfg."		#REF!	#REF!
707	335312	Motor and Generator Mfg.		#REF!	#REF!
708	334513	"Instruments and Related Products Mfg. for Measuring, Displaying, and Controlling Industrial Process Variables"		#REF!	#REF!
709	335932	Noncurrent-Carrying Wiring Device Mfg.		#REF!	#REF!
710	334416	"Electronic Coil, Transformer, and Other Inductor Mfg."		#REF!	#REF!
711	335314	Relay and Industrial Control Mfg.		#REF!	#REF!
712	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
713	335313	Switchgear and Switchboard Apparatus Mfg.		#REF!	#REF!
714	335911	Storage Battery Mfg.		#REF!	#REF!
715	335911	Storage Battery Mfg.		#REF!	#REF!
716	336350	Motor Vehicle Transmission and Power Train Parts Mfg.		#REF!	#REF!
717	336320	Motor Vehicle Electrical and Electronic Equipment Mfg.		#REF!	#REF!
718	336330	Motor Vehicle Steering and Suspension Components (Except Spring) Mfg.		#REF!	#REF!
719	336320	Motor Vehicle Electrical and Electronic Equipment Mfg.		#REF!	#REF!
720	335931	Current-Carrying Wiring Device Mfg.		#REF!	#REF!
721	334418	Printed Circuit Assembly (Electronic Assembly) Mfg.		#REF!	#REF!
722	334412	Bare Printed Circuit Board Mfg.		#REF!	#REF!
723	334310	Audio and Video Equipment Mfg.		#REF!	#REF!
724	334220	Radio and Television Broadcasting and Wireless Communications Equipment Mfg.		#REF!	#REF!
725	334210	Telephone Apparatus Mfg.		#REF!	#REF!
726	334516	Analytical Laboratory Instrument Mfg.		#REF!	#REF!
727	339114	Dental Equipment and Supplies Mfg.		#REF!	#REF!
728	334515	Instrument Mfg. for Measuring and Testing Electricity and Electrical Signals		#REF!	#REF!
729	334517	Irradiation Apparatus Mfg.		#REF!	#REF!
730	334519	Other Measuring and Controlling Device Mfg.		#REF!	#REF!
731	339112	Surgical and Medical Instrument Mfg.		#REF!	#REF!
732	334510	Electromedical and Electrotherapeutic Apparatus Mfg.		#REF!	#REF!
733	213112	Support Activities for Oil and Gas Operations		#REF!	#REF!
734	238130	Framing Contractors		#REF!	#REF!
735	811211	Consumer Electronics Repair and Maintenance		#REF!	#REF!
736	811211	Consumer Electronics Repair and Maintenance		#REF!	#REF!
737	238290	Other Building Equipment Contractors		#REF!	#REF!
738	238220	"Plumbing, Heating, and Air Conditioning Contractors"		#REF!	#REF!
739	238290	Other Building Equipment Contractors		#REF!	#REF!
740	238290	Other Building Equipment Contractors		#REF!	#REF!
741	238290	Other Building Equipment Contractors		#REF!	#REF!
742	238290	Other Building Equipment Contractors		#REF!	#REF!
743	811310	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance		#REF!	#REF!
744	238290	Other Building Equipment Contractors		#REF!	#REF!
745	238290	Other Building Equipment Contractors		#REF!	#REF!
746	333249	Other Industrial Machinery Mfg.		#REF!	#REF!
747	238120	Structural Steel and Precast Concrete Contractors		#REF!	#REF!
748	238210	Electrical Contractors and Other Wiring Installation Contractors		#REF!	#REF!
749	238210	Electrical Contractors and Other Wiring Installation Contractors		#REF!	#REF!
750	811310	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance		#REF!	#REF!
751	811310	Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance		#REF!	#REF!
752	562991	Septic Tank and Related Services		#REF!	#REF!
753	238120	Structural Steel and Precast Concrete Contractors		#REF!	#REF!
754	238120	Structural Steel and Precast Concrete Contractors		#REF!	#REF!
755	336390	Other Motor Vehicle Parts Mfg.		#REF!	#REF!
756	336390	Other Motor Vehicle Parts Mfg.		#REF!	#REF!
757	336111	Automobile Mfg.		#REF!	#REF!
758	336120	Heavy Duty Truck Mfg.		#REF!	#REF!
759	336999	All Other Transportation Equipment Mfg.		#REF!	#REF!
760	336120	Heavy Duty Truck Mfg.		#REF!	#REF!
761	336112	Light Truck and Utility Vehicle Mfg.		#REF!	#REF!
762	336213	Motor Home Mfg.		#REF!	#REF!
763	336214	Travel Trailer and Camper Mfg.		#REF!	#REF!
764	336212	Truck Trailer Mfg.		#REF!	#REF!
765	423930	Recyclable Material Merchant Wholesalers		#REF!	#REF!
766	336211	Motor Vehicle Body Mfg.		#REF!	#REF!
767	336211	Motor Vehicle Body Mfg.		#REF!	#REF!
768	336211	Motor Vehicle Body Mfg.		#REF!	#REF!
769	336211	Motor Vehicle Body Mfg.		#REF!	#REF!
770	336412	Aircraft Engine and Engine Parts Mfg.		#REF!	#REF!
771	336415	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Mfg.		#REF!	#REF!
772	336310	Motor Vehicle Gasoline Engine and Engine Parts Mfg.		#REF!	#REF!
773	336411	Airplane Mfg.		#REF!	#REF!
774	336414	Guided Missile and Space Vehicle Mfg.		#REF!	#REF!
775	336991	"Motorcycle, Bicycle, and Parts Mfg."		#REF!	#REF!
776	336991	"Motorcycle, Bicycle, and Parts Mfg."		#REF!	#REF!
777	336999	All Other Transportation Equipment Mfg.		#REF!	#REF!
778	336991	"Motorcycle, Bicycle, and Parts Mfg."		#REF!	#REF!
779	336510	Railroad Rolling Stock Mfg.		#REF!	#REF!
780	212325	Clay and Ceramic and Refractory Minerals Mining		#REF!	#REF!
781	237990	Other Heavy and Civil Engineering Construction		#REF!	#REF!
782	212321	Construction Sand and Gravel Mining		#REF!	#REF!
783	212322	Industrial Sand Mining		#REF!	#REF!
784	327331	Concrete Block and Brick Mfg.		#REF!	#REF!
785	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
786	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
787	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
788	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
789	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
790	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
791	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
792	327120	Clay Building Material and Refractories Mfg.		#REF!	#REF!
793	339995	Burial Casket Mfg.		#REF!	#REF!
794	327331	Concrete Block and Brick Mfg.		#REF!	#REF!
795	327332	Concrete Pipe Mfg.		#REF!	#REF!
796	327390	Other Concrete Product Mfg.		#REF!	#REF!
797	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
798	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
799	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
800	327999	All Other Misc. Nonmetallic Mineral Product Mfg.		#REF!	#REF!
801	327420	Gypsum Product Mfg.		#REF!	#REF!
802	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
803	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
804	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
805	327110	"Pottery, Ceramics, and Plumbing Fixture Mfg."		#REF!	#REF!
806	327212	Other Pressed and Blown Glass and Glassware Mfg.		#REF!	#REF!
807	327211	Flat Glass Mfg.		#REF!	#REF!
808	334111	Electronic Computer Mfg.		#REF!	#REF!
809	334419	Other Electronic Component Mfg.		#REF!	#REF!
810	335110	Electric Lamp Bulb and Part Mfg.		#REF!	#REF!
811	335921	Fiber Optic Cable Mfg.		#REF!	#REF!
812	327212	Other Pressed and Blown Glass and Glassware Mfg.		#REF!	#REF!
813	327212	Other Pressed and Blown Glass and Glassware Mfg.		#REF!	#REF!
814	327213	Glass Container Mfg.		#REF!	#REF!
815	327213	Glass Container Mfg.		#REF!	#REF!
816	327213	Glass Container Mfg.		#REF!	#REF!
817	327212	Other Pressed and Blown Glass and Glassware Mfg.		#REF!	#REF!
818	444190	Other Building Material Dealers		#REF!	#REF!
819	327211	Flat Glass Mfg.		#REF!	#REF!
820	327215	Glass Product Mfg. Made of Purchased Glass		#REF!	#REF!
821	327215	Glass Product Mfg. Made of Purchased Glass		#REF!	#REF!
822	339115	Ophthalmic Goods Mfg.		#REF!	#REF!
823	339115	Ophthalmic Goods Mfg.		#REF!	#REF!
824	333314	Optical Instrument and Lens Mfg.		#REF!	#REF!
825	322110	Pulp Mills		#REF!	#REF!
826	322110	Pulp Mills		#REF!	#REF!
827	322121	Paper (Except Newsprint) Mills		#REF!	#REF!
828	322121	Paper (Except Newsprint) Mills		#REF!	#REF!
829	322122	Newsprint Mills		#REF!	#REF!
830	322130	Paperboard Mills		#REF!	#REF!
831	321219	Reconstituted Wood Product Mfg.		#REF!	#REF!
832	322219	Other Paperboard Container Mfg.		#REF!	#REF!
833	333413	Industrial and Commercial Fan and Blower and Air Purification Equipment Mfg.		#REF!	#REF!
834	322212	Folding Paperboard Box Mfg.		#REF!	#REF!
835	322211	Corrugated and Solid Fiber Box Mfg.		#REF!	#REF!
836	322211	Corrugated and Solid Fiber Box Mfg.		#REF!	#REF!
837	322220	Paper Bag and Coated and Treated Paper Mfg.		#REF!	#REF!
838	322220	Paper Bag and Coated and Treated Paper Mfg.		#REF!	#REF!
839	322220	Paper Bag and Coated and Treated Paper Mfg.		#REF!	#REF!
840	322299	All Other Converted Paper Product Mfg.		#REF!	#REF!
841	322220	Paper Bag and Coated and Treated Paper Mfg.		#REF!	#REF!
842	322220	Paper Bag and Coated and Treated Paper Mfg.		#REF!	#REF!
843	339940	Office Supplies (Except Paper) Mfg.		#REF!	#REF!
